state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,poverty,unemployment
FL,DeSoto County,South,6,29.476,40.68,19.805,10.039,29.0,5.2
FL,Dixie County,South,6,22.236,43.224,28.142,6.397,25.0,5.5
FL,Duval County,South,1,11.092,28.048,32.771,28.089,15.0,5.0
FL,Escambia County,South,2,10.054,28.151,36.912,24.883,15.0,4.9
FL,Flagler County,South,2,8.925,33.411,34.342,23.322,11.0,5.5
FL,Franklin County,South,6,20.398,35.791,27.078,16.734,23.0,4.3
FL,Gadsden County,South,2,21.164,35.649,25.705,17.482,21.0,6.3
FL,Gilchrist County,South,2,17.294,39.317,31.043,12.345,17.0,5.1
FL,Glades County,South,6,25.598,43.972,21.549,8.881,22.0,6.2
FL,Gulf County,South,3,17.471,35.743,30.076,16.711,24.0,4.5
FL,Hamilton County,South,6,24.995,38.539,26.265,10.201,29.0,5.6
FL,Hardee County,South,6,31.137,40.378,18.855,9.631,24.0,6.7
FL,Hendry County,South,4,37.136,31.66,22.065,9.138,25.0,9.1
FL,Hernando County,South,1,12.966,36.641,33.99,16.404,15.0,6.1
FL,Highlands County,South,3,16.714,36.927,29.891,16.469,19.0,6.6
FL,Hillsborough County,South,1,12.196,27.191,29.179,31.433,15.0,4.5
FL,Holmes County,South,6,21.74,37.642,28.282,12.336,24.0,5.4
FL,Indian River County,South,3,12.432,30.15,30.251,27.167,12.0,6.2
FL,Jackson County,South,6,21.615,35.482,29.213,13.69,23.0,5.3
FL,Jefferson County,South,2,20.163,32.611,28.212,19.015,19.0,5.3
FL,Lafayette County,South,9,25.229,37.337,23.824,13.611,23.0,4.1
FL,Lake County,South,1,12.22,33.5,32.611,21.669,12.0,4.9
FL,Lee County,South,2,12.991,30.748,29.544,26.717,13.0,4.6
FL,Leon County,South,2,7.403,18.577,28.776,45.243,19.0,4.6
FL,Levy County,South,6,18.097,41.3,29.441,11.163,21.0,5.2
FL,Liberty County,South,8,20.877,46.494,20.167,12.462,24.0,5.3
FL,Madison County,South,6,17.294,38.563,31.801,12.342,32.0,5.3
FL,Manatee County,South,2,11.522,30.929,29.676,27.874,13.0,4.6
FL,Marion County,South,2,13.586,37.181,30.85,18.383,17.0,5.8
FL,Martin County,South,2,9.985,26.091,32.388,31.536,11.0,4.9
FL,Miami-Dade County,South,1,19.376,28.36,24.983,27.282,18.0,5.4
FL,Monroe County,South,4,8.99,28.793,31.146,31.071,12.0,3.2
FL,Nassau County,South,1,9.074,34.874,31.525,24.527,10.0,4.6
