state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,unemployment,poverty_log
AR,Stone County,South,9,23.469,35.05,27.034,14.447,5.1,3.091042453358316
AR,Union County,South,7,16.251,35.96,28.56,19.229,5.4,2.9444389791664403
AR,Van Buren County,South,8,15.672,45.188,25.521,13.618,6.8,2.833213344056216
AR,Washington County,South,2,15.82,27.491,25.512,31.177,2.7,2.772588722239781
AR,White County,South,4,15.968,38.17,26.52,19.342,5.2,2.772588722239781
AR,Woodruff County,South,9,24.479,45.449,19.856,10.217,5.4,3.258096538021482
AR,Yell County,South,6,22.148,40.865,22.609,14.378,4.4,2.8903717578961645
CA,Alameda County,West,1,12.701,17.998,25.413,43.888,4.3,2.3978952727983707
CA,Alpine County,West,8,8.861,32.532,28.861,29.747,6.5,2.9444389791664403
CA,Amador County,West,6,11.657,26.762,40.068,21.513,6.0,2.3978952727983707
CA,Butte County,West,3,11.739,22.698,39.418,26.146,6.6,2.995732273553991
CA,Calaveras County,West,6,9.594,27.221,42.965,20.22,5.7,2.5649493574615367
CA,Colusa County,West,6,31.944,21.849,31.78,14.427,15.6,2.3978952727983707
CA,Contra Costa County,West,1,10.941,18.169,30.62,40.27,4.5,2.1972245773362196
CA,Del Norte County,West,7,17.846,30.747,36.501,14.907,7.5,3.1780538303479458
CA,El Dorado County,West,1,7.374,21.762,37.881,32.983,5.1,2.1972245773362196
CA,Fresno County,West,2,26.224,22.742,31.301,19.732,9.5,3.258096538021482
CA,Glenn County,West,6,27.46,27.88,31.952,12.708,8.3,2.833213344056216
CA,Humboldt County,West,5,9.674,24.736,37.364,28.226,4.9,2.995732273553991
CA,Imperial County,West,3,32.973,22.478,30.592,13.957,23.6,3.1780538303479458
CA,Inyo County,West,7,11.532,31.217,32.759,24.492,5.3,2.4849066497880004
CA,Kern County,West,2,26.4,27.218,30.717,15.665,10.4,3.091042453358316
CA,Kings County,West,3,27.149,26.41,33.653,12.789,10.0,2.833213344056216
CA,Lake County,West,4,16.287,27.824,39.732,16.157,6.7,3.044522437723423
CA,Lassen County,West,7,18.604,30.897,37.961,12.538,6.9,2.8903717578961645
CA,Los Angeles County,West,1,22.282,20.679,26.275,30.764,5.3,2.772588722239781
CA,Madera County,West,3,28.296,25.899,32.675,13.13,9.2,2.995732273553991
CA,Marin County,West,1,6.893,11.265,24.76,57.081,3.3,2.0794415416798357
CA,Mariposa County,West,8,10.532,28.353,38.479,22.637,6.9,2.8903717578961645
CA,Mendocino County,West,4,13.459,26.205,36.257,24.079,5.3,2.9444389791664403
CA,Merced County,West,2,31.391,25.24,29.707,13.662,10.6,2.995732273553991
CA,Modoc County,West,6,13.587,27.084,41.059,18.27,7.8,2.8903717578961645
CA,Mono County,West,7,16.001,17.993,35.361,30.645,5.4,2.4849066497880004
