state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,unemployment,poverty_log,less_than_high_school_log,high_school_diploma_log,college/associate_degree_log,unemployment_log,RUCC_reduced,region_reduced
IN,Jasper County,Midwest,1,13.001,41.301,29.156,5.3,2.19722457733622,2.5650262775800314,3.720886712748916,3.3726607235199664,1.667706820558076,1,Northeast_Midwest
IN,Jay County,Midwest,6,15.872,47.746,25.491999999999997,4.5,2.6390573296152584,2.764556550542517,3.8658952937843596,3.2383646774520476,1.5040773967762742,4-9,Northeast_Midwest
IN,Jefferson County,Midwest,6,13.107000000000001,39.608000000000004,30.241999999999997,4.7,2.5649493574615367,2.5731464386374086,3.679031118059122,3.4092316866904775,1.547562508716013,4-9,Northeast_Midwest
IN,Jennings County,Midwest,6,15.48,47.22,27.663,4.7,2.5649493574615367,2.739548868161581,3.8548175316573667,3.320095780225114,1.547562508716013,4-9,Northeast_Midwest
IN,Johnson County,Midwest,1,8.499,32.733000000000004,29.266,3.6,2.079441541679836,2.1399485095164894,3.4883837433410716,3.3764264326702347,1.2809338454620642,1,Northeast_Midwest
IN,Knox County,Midwest,5,11.460999999999999,36.601,36.702,4.4,2.8332133440562166,2.438949967514562,3.600075562438442,3.602831249488483,1.4816045409242156,4-9,Northeast_Midwest
IN,Kosciusko County,Midwest,4,15.231,36.984,26.56,3.7,2.302585092994046,2.723332824633367,3.6104853866859243,3.279406324608233,1.308332819650179,4-9,Northeast_Midwest
IN,LaGrange County,Midwest,6,33.23599999999997,31.994,21.094,3.4,2.302585092994046,3.503633625802734,3.465548385219404,3.0489886398544224,1.2237754316221157,4-9,Northeast_Midwest
IN,Lake County,Midwest,1,12.412,35.27,31.430999999999997,6.3,2.8332133440562166,2.518663746586134,3.563032744247961,3.4477946670389374,1.840549633397487,1,Northeast_Midwest
IN,LaPorte County,Midwest,3,12.466,38.903,31.043000000000003,5.9,2.772588722239781,2.523004938386659,3.661071368473365,3.435373340129294,1.7749523509116738,2-3,Northeast_Midwest
